Disease,Allopathic,Ayurvedic,Homeopathic
Influenza,Oseltamivir 75mg - 2x/day,Giloy Juice - 2 tsp/day,Influenzinum 200 - once/week
Common Cold,Paracetamol 500mg - as needed,Tulsi Decoction - 2x/day,Aconitum Napellus 30 - 3x/day
Eczema,Hydrocortisone Cream - apply twice daily,Neem Oil - apply locally,Graphites 200 - once/day
Asthma,Salbutamol Inhaler - as needed,Sitopaladi Churna - 1 tsp/day,Blatta Orientalis Q - 15 drops
Hyperthyroidism,Methimazole 10mg - 1x/day,Kanchnar Guggulu - 2x/day,Thyroidinum 200 - weekly
Allergic Rhinitis,Levocetirizine 5mg - 1x/day,Haridrakhand - 1 tsp/day,Allium Cepa 30 - 3x/day
Anxiety Disorders,Sertraline 50mg - 1x/day,Ashwagandha - 1 capsule/day,Gelsemium 30 - 3x/day
Diabetes,Metformin 500mg - 2x/day,Jamun Juice - 2 tsp/day,Syzygium Jambolanum - 10 drops/day
Gastroenteritis,ORS + Loperamide - as needed,Kutajarishta - 2 tsp/day,Arsenicum Album 30 - 2x/day
Pancreatitis,Pancrelipase - with meals,Trikatu Churna - 1 tsp/day,Iris Versicolor - 15 drops/day
Rheumatoid Arthritis,Methotrexate 15mg - weekly,Shallaki - 1 capsule/day,Rhus Tox 200 - once/day
Depression,Fluoxetine 20mg - 1x/day,Brahmi - 1 capsule/day,Ignatia 200 - once/day
Liver Cancer,Sorafenib 400mg - 2x/day,Bhumyamalaki - 2 tsp/day,Chelidonium Majus Q - 15 drops
Stroke,Aspirin + Clopidogrel - 1x/day,Medhya Rasayana - 1x/day,Baryta Carb 30 - once/day
Urinary Tract Infection,Nitrofurantoin 100mg - 2x/day,Punarnava - 1 capsule/day,Cantharis 200 - 3x/day
Dengue Fever,Paracetamol 650mg - 3x/day,Papaya Leaf Extract - 2 tsp/day,Eupatorium Perfoliatum - 3x/day
Hepatitis,Tenofovir 300mg - 1x/day,Kalmegh Syrup - 1 tsp/day,Carduus Marianus Q - 15 drops/day
Kidney Cancer,Sunitinib 50mg - 1x/day,Varunadi Kashayam - 2 tsp/day,Berberis Vulgaris Q - 15 drops/day
Migraine,Sumatriptan 50mg - as needed,Dashmoolarishta - 2 tsp/day,Belladonna 30 - as needed
Muscular Dystrophy,Prednisone 5mg - 1x/day,Ashwagandha + Shatavari - 1 capsule/day,Causticum 200 - 1x/day
Sinusitis,Amoxicillin 500mg - 3x/day,Triphala - 1 tsp/day,Kali Bichromicum 30 - 2x/day
Ulcerative Colitis,Mesalamine 800mg - 3x/day,Kutaj Churna - 1 tsp/day,Merc Sol 200 - 2x/day
Bipolar Disorder,Lithium 300mg - 2x/day,Jatamansi - 1 capsule/day,Natrum Muriaticum 200 - weekly
Bronchitis,Salbutamol Syrup - 2 tsp/day,Tulsi Ginger Tea - 2x/day,Antimonium Tart 30 - 3x/day
Cerebral Palsy,Baclofen 10mg - 2x/day,Guduchi Satva - 1 tsp/day,Zincum Metallicum 30 - 1x/day
Pneumonia,Azithromycin 500mg - 1x/day for 3 days,Tulsi Kadha - 2x/day,Bryonia Alba 30 - 3 drops thrice a day
