Disease/Condition,Recommended Yoga Practice,Frequency,Estimated Duration to Benefit,Observed Benefit
Depression,Trikonasana,3-4 times a week,1 year,Helps with depression symptoms
Arthritis,Restorative Yoga,Weekly,8 weeks,Helps with arthritis symptoms
Asthma,Surya Namaskar,Weekly,4 weeks,Helps with asthma symptoms
Back Pain,Trikonasana,Daily,4 weeks,Helps with back pain symptoms
Asthma,Yin Yoga,Daily,1 year,Helps with asthma symptoms
COPD,Kundalini Yoga,Weekly,12 weeks,Helps with copd symptoms
Heart Disease,Iyengar Yoga,Daily,6 months,Helps with heart disease symptoms
Depression,Surya Namaskar,Weekly,4 weeks,Helps with depression symptoms
Arthritis,Hatha Yoga,3-4 times a week,12 weeks,Helps with arthritis symptoms
Hypertension,Yin Yoga,Weekly,8 weeks,Helps with hypertension symptoms
Migraine,Pranayama,Daily,8 weeks,Helps with migraine symptoms
COPD,Kundalini Yoga,Weekly,6 months,Helps with copd symptoms
Migraine,Ashtanga Yoga,Weekly,8 weeks,Helps with migraine symptoms
Obesity,Yin Yoga,Daily,1 year,Helps with obesity symptoms
Anxiety,Hatha Yoga,Daily,6 months,Helps with anxiety symptoms
Diabetes,Ashtanga Yoga,3-4 times a week,6 months,Helps with diabetes symptoms
Depression,Hatha Yoga,3-4 times a week,12 weeks,Helps with depression symptoms
Back Pain,Hatha Yoga,Weekly,1 year,Helps with back pain symptoms
Back Pain,Bhujangasana,3-4 times a week,1 year,Helps with back pain symptoms
Sciatica,Hatha Yoga,Daily,4 weeks,Helps with sciatica symptoms
Depression,Bhujangasana,3-4 times a week,6 months,Helps with depression symptoms
Hypertension,Shavasana,Daily,6 months,Helps with hypertension symptoms
COPD,Yin Yoga,3-4 times a week,4 weeks,Helps with copd symptoms
Sciatica,Restorative Yoga,Daily,8 weeks,Helps with sciatica symptoms
Depression,Bhujangasana,Weekly,8 weeks,Helps with depression symptoms
Chronic Fatigue,Restorative Yoga,Weekly,8 weeks,Helps with chronic fatigue symptoms
Anxiety,Iyengar Yoga,Daily,8 weeks,Helps with anxiety symptoms
Anxiety,Meditation,Daily,1 year,Helps with anxiety symptoms
Back Pain,Ashtanga Yoga,3-4 times a week,6 months,Helps with back pain symptoms
Heart Disease,Surya Namaskar,3-4 times a week,1 year,Helps with heart disease symptoms
Migraine,Vinyasa Yoga,3-4 times a week,4 weeks,Helps with migraine symptoms
Insomnia,Meditation,Weekly,8 weeks,Helps with insomnia symptoms
Anxiety,Anulom Vilom,Daily,1 year,Helps with anxiety symptoms
PCOS,Iyengar Yoga,Weekly,12 weeks,Helps with pcos symptoms
Migraine,Kundalini Yoga,Weekly,1 year,Helps with migraine symptoms
Back Pain,Meditation,3-4 times a week,8 weeks,Helps with back pain symptoms
